Country,Confirmed,Deaths,Recovered,Date
Belarus,69,0,5,2020-03-20
Belgium,2257,37,1,2020-03-20
Brazil,793,11,2,2020-03-20
Canada,943,12,9,2020-03-20
China,81250,3253,71266,2020-03-20
France,12632,450,12,2020-03-20
Germany,19848,67,180,2020-03-20
Iran,19644,1433,6745,2020-03-20
Italy,47021,4032,4440,2020-03-20
Japan,963,33,191,2020-03-20
Netherlands,3003,107,2,2020-03-20
Russia,253,1,9,2020-03-20
Spain,20410,1043,1588,2020-03-20
Switzerland,5294,54,15,2020-03-20
Turkey,359,4,0,2020-03-20
US,19101,244,147,2020-03-20
United Kingdom,4014,178,67,2020-03-20
Uzbekistan,33,0,0,2020-03-20
Belarus,76,0,15,2020-03-21
Belgium,2815,67,263,2020-03-21
Brazil,1021,15,2,2020-03-21
Canada,1278,19,10,2020-03-21
China,81305,3259,71857,2020-03-21
France,14308,562,12,2020-03-21
Germany,22213,84,233,2020-03-21
Iran,20610,1556,7635,2020-03-21
Italy,53578,4825,6072,2020-03-21
Japan,1007,35,232,2020-03-21
Netherlands,3640,137,2,2020-03-21
Russia,306,1,12,2020-03-21
Spain,25374,1375,2125,2020-03-21
Switzerland,6575,75,15,2020-03-21
Turkey,670,9,0,2020-03-21
US,25514,307,171,2020-03-21
United Kingdom,5067,234,67,2020-03-21
Uzbekistan,43,0,0,2020-03-21
Belarus,76,0,15,2020-03-22
Belgium,3401,75,263,2020-03-22
Brazil,1546,25,2,2020-03-22
Canada,1470,21,0,2020-03-22
China,81397,3265,72362,2020-03-22
France,16214,676,2201,2020-03-22
Germany,24873,94,266,2020-03-22
Iran,21638,1685,7635,2020-03-22
Italy,59138,5476,7024,2020-03-22
Japan,1086,36,235,2020-03-22
Netherlands,4217,180,3,2020-03-22
Russia,367,1,16,2020-03-22
Spain,28603,1756,2125,2020-03-22
Switzerland,7474,98,131,2020-03-22
Turkey,1236,30,0,2020-03-22
US,33848,427,0,2020-03-22
United Kingdom,5741,282,95,2020-03-22
Uzbekistan,43,0,0,2020-03-22
Belarus,81,0,22,2020-03-23
Belgium,3743,88,401,2020-03-23
Brazil,1924,34,2,2020-03-23
Canada,2088,25,0,2020-03-23
China,81496,3274,72819,2020-03-23
France,20123,862,2207,2020-03-23
Germany,29056,123,453,2020-03-23
Iran,23049,1812,8376,2020-03-23
Italy,63927,6077,7432,2020-03-23
Japan,1128,42,235,2020-03-23
Netherlands,4764,214,3,2020-03-23
Russia,438,1,17,2020-03-23
Spain,35136,2311,3355,2020-03-23
Switzerland,8795,120,131,2020-03-23
Turkey,1529,37,0,2020-03-23
US,43663,552,0,2020-03-23
United Kingdom,6726,336,140,2020-03-23
Uzbekistan,46,0,0,2020-03-23
Belarus,81,0,22,2020-03-24
Belgium,4269,122,461,2020-03-24
Brazil,2247,46,2,2020-03-24
Canada,2790,26,110,2020-03-24
China,81591,3281,73274,2020-03-24
France,22622,1102,3288,2020-03-24
Germany,32986,157,3243,2020-03-24
Iran,24811,1934,8913,2020-03-24
Italy,69176,6820,8326,2020-03-24
Japan,1193,43,285,2020-03-24
Netherlands,5580,277,3,2020-03-24
Russia,495,1,22,2020-03-24
Spain,39885,2808,3794,2020-03-24
Switzerland,9877,122,131,2020-03-24
Turkey,1872,44,0,2020-03-24
US,53736,706,348,2020-03-24
United Kingdom,8164,423,140,2020-03-24
Uzbekistan,50,0,0,2020-03-24
Belarus,86,0,29,2020-03-25
Belgium,4937,178,547,2020-03-25
Brazil,2554,59,2,2020-03-25
Canada,3251,30,183,2020-03-25
China,81661,3285,73767,2020-03-25
France,25600,1333,3907,2020-03-25
Germany,37323,206,3547,2020-03-25
Iran,27017,2077,9625,2020-03-25
Italy,74386,7503,9362,2020-03-25
Japan,1307,45,310,2020-03-25
Netherlands,6438,357,4,2020-03-25
Russia,658,3,29,2020-03-25
Spain,49515,3647,5367,2020-03-25
Switzerland,10897,153,131,2020-03-25
Turkey,2433,59,26,2020-03-25
US,65778,942,361,2020-03-25
United Kingdom,9640,466,140,2020-03-25
Uzbekistan,60,0,0,2020-03-25
Belarus,86,0,29,2020-03-26
Belgium,6235,220,675,2020-03-26
Brazil,2985,77,6,2020-03-26
Canada,4042,38,184,2020-03-26
China,81782,3291,74175,2020-03-26
France,29551,1698,4955,2020-03-26
Germany,43938,267,5673,2020-03-26
Iran,29406,2234,10457,2020-03-26
Italy,80589,8215,10361,2020-03-26
Japan,1387,47,359,2020-03-26
Netherlands,7468,435,6,2020-03-26
Russia,840,3,38,2020-03-26
Spain,57786,4365,7015,2020-03-26
Switzerland,11811,191,131,2020-03-26
Turkey,3629,75,26,2020-03-26
US,83836,1209,681,2020-03-26
United Kingdom,11812,580,150,2020-03-26
Uzbekistan,75,0,0,2020-03-26
Belarus,94,0,32,2020-03-27
Belgium,7284,289,858,2020-03-27
Brazil,3417,92,6,2020-03-27
Canada,4682,54,256,2020-03-27
China,81897,3296,74714,2020-03-27
France,33402,1997,5707,2020-03-27
Germany,50871,342,6658,2020-03-27
Iran,32332,2378,11133,2020-03-27
Italy,86498,9134,10950,2020-03-27
Japan,1468,49,372,2020-03-27
Netherlands,8647,547,6,2020-03-27
Russia,1036,4,45,2020-03-27
Spain,65719,5138,9357,2020-03-27
Switzerland,12928,231,1530,2020-03-27
Turkey,5698,92,42,2020-03-27
US,101657,1581,869,2020-03-27
United Kingdom,14745,761,151,2020-03-27
Uzbekistan,88,1,5,2020-03-27
Belarus,94,0,32,2020-03-28
Belgium,9134,353,1063,2020-03-28
Brazil,3904,111,6,2020-03-28
Canada,5576,61,466,2020-03-28
China,81999,3299,75094,2020-03-28
France,38105,2317,5724,2020-03-28
Germany,57695,433,8481,2020-03-28
Iran,35408,2517,11679,2020-03-28
Italy,92472,10023,12384,2020-03-28
Japan,1693,52,404,2020-03-28
Netherlands,9819,640,6,2020-03-28
Russia,1264,4,49,2020-03-28
Spain,73235,5982,12285,2020-03-28
Switzerland,14076,264,1530,2020-03-28
Turkey,7402,108,70,2020-03-28
US,121465,2026,1072,2020-03-28
United Kingdom,17312,1021,151,2020-03-28
Uzbekistan,104,2,5,2020-03-28
Belarus,94,0,32,2020-03-29
Belgium,10836,431,1359,2020-03-29
Brazil,4256,136,6,2020-03-29
Canada,6280,64,466,2020-03-29
China,82122,3304,75576,2020-03-29
France,40708,2611,7226,2020-03-29
Germany,62095,533,9211,2020-03-29
Iran,38309,2640,12391,2020-03-29
Italy,97689,10779,13030,2020-03-29
Japan,1866,54,424,2020-03-29
Netherlands,10930,772,253,2020-03-29
Russia,1534,8,64,2020-03-29
Spain,80110,6803,14709,2020-03-29
Switzerland,14829,300,1595,2020-03-29
Turkey,9217,131,105,2020-03-29
US,140909,2467,2665,2020-03-29
United Kingdom,19780,1231,151,2020-03-29
Uzbekistan,144,2,7,2020-03-29
Belarus,152,0,32,2020-03-30
Belgium,11899,513,1527,2020-03-30
Brazil,4579,159,120,2020-03-30
Canada,7398,80,466,2020-03-30
China,82198,3308,75917,2020-03-30
France,45170,3030,7964,2020-03-30
Germany,66885,645,13500,2020-03-30
Iran,41495,2757,13911,2020-03-30
Italy,101739,11591,14620,2020-03-30
Japan,1866,54,424,2020-03-30
Netherlands,11817,865,253,2020-03-30
Russia,1836,9,66,2020-03-30
Spain,87956,7716,16780,2020-03-30
Switzerland,15922,359,1823,2020-03-30
Turkey,10827,168,162,2020-03-30
US,161831,2978,5644,2020-03-30
United Kingdom,22453,1411,171,2020-03-30
Uzbekistan,149,2,7,2020-03-30
Belarus,152,1,47,2020-03-31
Belgium,12775,705,1696,2020-03-31
Brazil,5717,201,127,2020-03-31
Canada,8527,101,1592,2020-03-31
China,82279,3309,76200,2020-03-31
France,52827,3532,9513,2020-03-31
Germany,71808,775,16100,2020-03-31
Iran,44605,2898,14656,2020-03-31
Italy,105792,12428,15729,2020-03-31
Japan,1953,56,424,2020-03-31
Netherlands,12667,1040,253,2020-03-31
Russia,2337,17,121,2020-03-31
Spain,95923,8464,19259,2020-03-31
Switzerland,16605,433,1823,2020-03-31
Turkey,13531,214,243,2020-03-31
US,188172,3873,7024,2020-03-31
United Kingdom,25481,1793,179,2020-03-31
Uzbekistan,172,2,7,2020-03-31
Belarus,163,2,53,2020-04-01
Belgium,13964,828,2132,2020-04-01
Brazil,6836,240,127,2020-04-01
Canada,9560,109,1324,2020-04-01
China,82361,3316,76399,2020-04-01
France,57749,4043,11053,2020-04-01
Germany,77872,920,18700,2020-04-01
Iran,47593,3036,15473,2020-04-01
Italy,110574,13155,16847,2020-04-01
Japan,2178,57,472,2020-04-01
Netherlands,13696,1175,260,2020-04-01
Russia,2777,24,190,2020-04-01
Spain,104118,9387,22647,2020-04-01
Switzerland,17768,488,2967,2020-04-01
Turkey,15679,277,333,2020-04-01
US,213372,4757,8474,2020-04-01
United Kingdom,29865,2357,179,2020-04-01
Uzbekistan,181,2,12,2020-04-01
Belarus,304,4,53,2020-04-02
Belgium,15348,1011,2495,2020-04-02
Brazil,8044,324,127,2020-04-02
Canada,11284,139,1735,2020-04-02
China,82432,3322,76565,2020-04-02
France,59929,5398,12548,2020-04-02
Germany,84794,1107,22440,2020-04-02
Iran,50468,3160,16711,2020-04-02
Italy,115242,13915,18278,2020-04-02
Japan,2495,62,472,2020-04-02
Netherlands,14788,1341,260,2020-04-02
Russia,3548,30,235,2020-04-02
Spain,112065,10348,26743,2020-04-02
Switzerland,18827,536,4013,2020-04-02
Turkey,18135,356,415,2020-04-02
US,243599,5926,9001,2020-04-02
United Kingdom,34173,2926,192,2020-04-02
Uzbekistan,205,2,25,2020-04-02
Belarus,351,4,53,2020-04-03
Belgium,16770,1143,2872,2020-04-03
Brazil,9056,359,127,2020-04-03
Canada,12437,179,2175,2020-04-03
China,82511,3326,76760,2020-04-03
France,65202,6520,14135,2020-04-03
Germany,91159,1275,24575,2020-04-03
Iran,53183,3294,17935,2020-04-03
Italy,119827,14681,19758,2020-04-03
Japan,2617,63,514,2020-04-03
Netherlands,15821,1490,260,2020-04-03
Russia,4149,34,281,2020-04-03
Spain,119199,11198,30513,2020-04-03
Switzerland,19606,591,4846,2020-04-03
Turkey,20921,425,484,2020-04-03
US,275586,7087,9707,2020-04-03
United Kingdom,38689,3611,208,2020-04-03
Uzbekistan,227,2,25,2020-04-03
Belarus,440,5,53,2020-04-04
Belgium,18431,1283,3247,2020-04-04
Brazil,10360,445,127,2020-04-04
Canada,12978,218,2577,2020-04-04
China,82543,3330,76946,2020-04-04
France,90848,7574,15572,2020-04-04
Germany,96092,1444,26400,2020-04-04
Iran,55743,3452,19736,2020-04-04
Italy,124632,15362,20996,2020-04-04
Japan,3139,77,514,2020-04-04
Netherlands,16727,1656,262,2020-04-04
Russia,4731,43,333,2020-04-04
Spain,126168,11947,34219,2020-04-04
Switzerland,20505,666,6415,2020-04-04
Turkey,23934,501,786,2020-04-04
US,308853,8407,14652,2020-04-04
United Kingdom,42477,4320,215,2020-04-04
Uzbekistan,266,2,25,2020-04-04
Belarus,562,8,52,2020-04-05
Belgium,19691,1447,3751,2020-04-05
Brazil,11130,486,127,2020-04-05
Canada,15756,259,3012,2020-04-05
China,82602,3333,77207,2020-04-05
France,93773,8093,16349,2020-04-05
Germany,100123,1584,28700,2020-04-05
Iran,58226,3603,19736,2020-04-05
Italy,128948,15887,21815,2020-04-05
Japan,3139,77,514,2020-04-05
Netherlands,17953,1771,257,2020-04-05
Russia,5389,45,355,2020-04-05
Spain,131646,12641,38080,2020-04-05
Switzerland,21100,715,6415,2020-04-05
Turkey,27069,574,1042,2020-04-05
US,337072,9619,17448,2020-04-05
United Kingdom,48436,4943,229,2020-04-05
Uzbekistan,342,2,30,2020-04-05
Belarus,700,13,53,2020-04-06
Belgium,20814,1632,3986,2020-04-06
Brazil,12161,564,127,2020-04-06
Canada,16563,339,3256,2020-04-06
China,82665,3335,77310,2020-04-06
France,98963,8926,17428,2020-04-06
Germany,103374,1810,28700,2020-04-06
Iran,60500,3739,24236,2020-04-06
Italy,132547,16523,22837,2020-04-06
Japan,3654,85,575,2020-04-06
Netherlands,18926,1874,258,2020-04-06
Russia,6343,47,406,2020-04-06
Spain,136675,13341,40437,2020-04-06
Switzerland,21657,765,8056,2020-04-06
Turkey,30217,649,1326,2020-04-06
US,366667,10783,19581,2020-04-06
United Kingdom,52279,5385,287,2020-04-06
Uzbekistan,457,2,30,2020-04-06
Belarus,861,13,54,2020-04-07
Belgium,22194,2035,4157,2020-04-07
Brazil,14034,686,127,2020-04-07
Canada,17872,375,3791,2020-04-07
China,82718,3335,77410,2020-04-07
France,110065,10343,19523,2020-04-07
Germany,107663,2016,36081,2020-04-07
Iran,62589,3872,27039,2020-04-07
Italy,135586,17127,24392,2020-04-07
Japan,3906,92,592,2020-04-07
Netherlands,19709,2108,272,2020-04-07
Russia,7497,58,494,2020-04-07
Spain,141942,14045,43208,2020-04-07
Switzerland,22253,821,8704,2020-04-07
Turkey,34109,725,1582,2020-04-07
US,396223,12722,21763,2020-04-07
United Kingdom,55949,6171,325,2020-04-07
Uzbekistan,520,2,30,2020-04-07
Belarus,1066,13,77,2020-04-08
Belgium,23403,2240,4681,2020-04-08
Brazil,16170,819,127,2020-04-08
Canada,19141,407,4154,2020-04-08
China,82809,3337,77567,2020-04-08
France,113959,10887,21452,2020-04-08
Germany,113296,2349,46300,2020-04-08
Iran,64586,3993,29812,2020-04-08
Italy,139422,17669,26491,2020-04-08
Japan,4257,93,622,2020-04-08
Netherlands,20682,2255,272,2020-04-08
Russia,8672,63,580,2020-04-08
Spain,148220,14792,48021,2020-04-08
Switzerland,23280,895,9800,2020-04-08
Turkey,38226,812,1846,2020-04-08
US,429052,14695,23559,2020-04-08
United Kingdom,61474,7111,345,2020-04-08
Uzbekistan,545,3,30,2020-04-08
Belarus,1486,16,139,2020-04-09
Belgium,24983,2523,5164,2020-04-09
Brazil,18092,950,173,2020-04-09
Canada,20654,503,5162,2020-04-09
China,82883,3339,77679,2020-04-09
France,118781,12228,23413,2020-04-09
Germany,118181,2607,52407,2020-04-09
Iran,66220,4110,32309,2020-04-09
Italy,143626,18279,28470,2020-04-09
Japan,4667,94,632,2020-04-09
Netherlands,21903,2403,278,2020-04-09
Russia,10131,76,698,2020-04-09
Spain,153222,15447,52165,2020-04-09
Switzerland,24051,948,10600,2020-04-09
Turkey,42282,908,2142,2020-04-09
US,461437,16478,25410,2020-04-09
United Kingdom,65872,7993,359,2020-04-09
Uzbekistan,582,3,38,2020-04-09
Belarus,1981,19,169,2020-04-10
Belgium,26667,3019,5568,2020-04-10
Brazil,19638,1057,173,2020-04-10
Canada,22059,557,5855,2020-04-10
China,82941,3340,77791,2020-04-10
France,125931,13215,25195,2020-04-10
Germany,122171,2767,53913,2020-04-10
Iran,68192,4232,35465,2020-04-10
Italy,147577,18849,30455,2020-04-10
Japan,5530,99,685,2020-04-10
Netherlands,23249,2520,287,2020-04-10
Russia,11917,94,795,2020-04-10
Spain,158273,16081,55668,2020-04-10
Switzerland,24551,1002,11100,2020-04-10
Turkey,47029,1006,2423,2020-04-10
US,496535,18586,28790,2020-04-10
United Kingdom,74605,8974,588,2020-04-10
Uzbekistan,624,3,42,2020-04-10
Belarus,2226,23,172,2020-04-11
Belgium,28018,3346,5986,2020-04-11
Brazil,20727,1124,173,2020-04-11
Canada,23316,654,6589,2020-04-11
China,83014,3343,77877,2020-04-11
France,130727,13851,26663,2020-04-11
Germany,124908,2736,57400,2020-04-11
Iran,70029,4357,41947,2020-04-11
Italy,152271,19468,32534,2020-04-11
Japan,6005,99,762,2020-04-11
Netherlands,24571,2653,291,2020-04-11
Russia,13584,106,1045,2020-04-11
Spain,163027,16606,59109,2020-04-11
Switzerland,25107,1036,12100,2020-04-11
Turkey,52167,1101,2965,2020-04-11
US,526396,20462,31270,2020-04-11
United Kingdom,79874,9892,622,2020-04-11
Uzbekistan,767,4,42,2020-04-11
Belarus,2578,26,203,2020-04-12
Belgium,29647,3600,6463,2020-04-12
Brazil,22192,1223,173,2020-04-12
Canada,24299,713,7123,2020-04-12
China,83134,3343,77956,2020-04-12
France,133670,14412,27469,2020-04-12
Germany,127854,3022,60300,2020-04-12
Iran,71686,4474,43894,2020-04-12
Italy,156363,19899,34211,2020-04-12
Japan,6748,108,762,2020-04-12
Netherlands,25746,2747,295,2020-04-12
Russia,15770,130,1291,2020-04-12
Spain,166831,17209,62391,2020-04-12
Switzerland,25415,1106,12700,2020-04-12
Turkey,56956,1198,3446,2020-04-12
US,555313,22019,32988,2020-04-12
United Kingdom,85206,10629,626,2020-04-12
Uzbekistan,865,4,66,2020-04-12
Belarus,2919,29,203,2020-04-13
Belgium,30589,3903,6707,2020-04-13
Brazil,23430,1328,173,2020-04-13
Canada,25680,780,7758,2020-04-13
China,83213,3345,78039,2020-04-13
France,137875,14986,28001,2020-04-13
Germany,130072,3194,64300,2020-04-13
Iran,73303,4585,45983,2020-04-13
Italy,159516,20465,35435,2020-04-13
Japan,7370,123,784,2020-04-13
Netherlands,26710,2833,295,2020-04-13
Russia,18328,148,1470,2020-04-13
Spain,170099,17756,64727,2020-04-13
Switzerland,25688,1138,13700,2020-04-13
Turkey,61049,1296,3957,2020-04-13
