Country,Confirmed,Deaths,Recovered,Date
Japan,2.0,0.0,0.0,2020-01-22
US,1.0,0.0,0.0,2020-01-22
Brazil,0.0,0.0,0.0,2020-01-23
Japan,1.0,0.0,0.0,2020-01-23
US,1.0,0.0,0.0,2020-01-23
France,2.0,0.0,0.0,2020-01-24
Japan,2.0,0.0,0.0,2020-01-24
US,2.0,0.0,0.0,2020-01-24
France,3.0,0.0,0.0,2020-01-25
Japan,2.0,0.0,0.0,2020-01-25
US,2.0,0.0,0.0,2020-01-25
Canada,1.0,0.0,0.0,2020-01-26
France,3.0,0.0,0.0,2020-01-26
Japan,4.0,0.0,1.0,2020-01-26
US,5.0,0.0,0.0,2020-01-26
Canada,1.0,0.0,0.0,2020-01-27
France,3.0,0.0,0.0,2020-01-27
Japan,4.0,0.0,1.0,2020-01-27
US,5.0,0.0,0.0,2020-01-27
Canada,2.0,0.0,0.0,2020-01-28
France,4.0,0.0,0.0,2020-01-28
Germany,4.0,0.0,0.0,2020-01-28
Japan,7.0,0.0,1.0,2020-01-28
US,5.0,0.0,0.0,2020-01-28
Canada,2.0,0.0,0.0,2020-01-29
France,5.0,0.0,0.0,2020-01-29
Germany,4.0,0.0,0.0,2020-01-29
Japan,7.0,0.0,1.0,2020-01-29
US,5.0,0.0,0.0,2020-01-29
Canada,3.0,0.0,0.0,2020-01-30
France,5.0,0.0,0.0,2020-01-30
Germany,4.0,0.0,0.0,2020-01-30
Japan,11.0,0.0,1.0,2020-01-30
US,5.0,0.0,0.0,2020-01-30
Canada,3.0,0.0,0.0,2020-01-31
France,5.0,0.0,0.0,2020-01-31
Germany,5.0,0.0,0.0,2020-01-31
Italy,2.0,0.0,0.0,2020-01-31
Japan,15.0,0.0,1.0,2020-01-31
Russia,2.0,0.0,0.0,2020-01-31
US,6.0,0.0,0.0,2020-01-31
Canada,4.0,0.0,0.0,2020-02-01
France,6.0,0.0,0.0,2020-02-01
Germany,8.0,0.0,0.0,2020-02-01
